year,problem,kind,repo,path,bytes,git_blob_sha1,sha256,url,verification,license
2022,E,Code,Fucheng-Zhong/2022_math_modeling_E,数学建模/数学建模.nb,486752,43ba533f64fb33a118364a49fbb814a0644ea93e,,https://github.com/Fucheng-Zhong/2022_math_modeling_E/blob/10dad930931a60cf9b6de8f1de717607c3fd54a9/%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1/%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1.nb,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,E,Code,Fucheng-Zhong/2022_math_modeling_E,数学建模/问题3.ipynb,1383925,30b96fafc4a7b551ab1bed1ffa69c96699c3a069,,https://github.com/Fucheng-Zhong/2022_math_modeling_E/blob/10dad930931a60cf9b6de8f1de717607c3fd54a9/%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1/%E9%97%AE%E9%A2%983.ipynb,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,E,Code,Fucheng-Zhong/2022_math_modeling_E,数学建模/问题4.ipynb,1891229,1fc798a516c4586a5688c7b04265a435fce1179b,,https://github.com/Fucheng-Zhong/2022_math_modeling_E/blob/10dad930931a60cf9b6de8f1de717607c3fd54a9/%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1/%E9%97%AE%E9%A2%984.ipynb,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,E,Data,Fucheng-Zhong/2022_math_modeling_E,数学建模/bio_data.csv,548096,986f535faf4888818b9ded60800657e19c031aa9,,https://github.com/Fucheng-Zhong/2022_math_modeling_E/blob/10dad930931a60cf9b6de8f1de717607c3fd54a9/%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1/bio_data.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,E,Data,Fucheng-Zhong/2022_math_modeling_E,数学建模/bio_data2.csv,2173,50701218707e4330ae833a9f656190c92d3f30d8,,https://github.com/Fucheng-Zhong/2022_math_modeling_E/blob/10dad930931a60cf9b6de8f1de717607c3fd54a9/%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1/bio_data2.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,E,Data,Fucheng-Zhong/2022_math_modeling_E,数学建模/intensity_plant.csv,1628,c6dab919179bfaca1a9feaae9e4ae045c6c1f7af,,https://github.com/Fucheng-Zhong/2022_math_modeling_E/blob/10dad930931a60cf9b6de8f1de717607c3fd54a9/%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1/intensity_plant.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,E,Data,Fucheng-Zhong/2022_math_modeling_E,数学建模/new土壤湿度2022—2012年.xlsx,16256,75d64745ed2e095bfbf6b18862fbd982df14b420,,https://github.com/Fucheng-Zhong/2022_math_modeling_E/blob/10dad930931a60cf9b6de8f1de717607c3fd54a9/%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1/new%E5%9C%9F%E5%A3%A4%E6%B9%BF%E5%BA%A62022%E2%80%942012%E5%B9%B4.xlsx,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,E,Data,Fucheng-Zhong/2022_math_modeling_E,数学建模/new土壤蒸发量2012—2022年.xlsx,15434,901c7d1b38e07ed37aac869a84b31ec50e57c013,,https://github.com/Fucheng-Zhong/2022_math_modeling_E/blob/10dad930931a60cf9b6de8f1de717607c3fd54a9/%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1/new%E5%9C%9F%E5%A3%A4%E8%92%B8%E5%8F%91%E9%87%8F2012%E2%80%942022%E5%B9%B4.xlsx,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,E,Data,Fucheng-Zhong/2022_math_modeling_E,数学建模/内蒙古自治区锡林郭勒盟典型草原轮牧放牧样地群落结构监测数据集（201.xlsx,3941347,13b93cd6dc277cd4052e84001154315d082d241a,,https://github.com/Fucheng-Zhong/2022_math_modeling_E/blob/10dad930931a60cf9b6de8f1de717607c3fd54a9/%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1/%E5%86%85%E8%92%99%E5%8F%A4%E8%87%AA%E6%B2%BB%E5%8C%BA%E9%94%A1%E6%9E%97%E9%83%AD%E5%8B%92%E7%9B%9F%E5%85%B8%E5%9E%8B%E8%8D%89%E5%8E%9F%E8%BD%AE%E7%89%A7%E6%94%BE%E7%89%A7%E6%A0%B7%E5%9C%B0%E7%BE%A4%E8%90%BD%E7%BB%93%E6%9E%84%E7%9B%91%E6%B5%8B%E6%95%B0%E6%8D%AE%E9%9B%86%EF%BC%88201.xlsx,Git tree enumerated; runtime not tested,UNSPECIFIED
2022,E,Data,Fucheng-Zhong/2022_math_modeling_E,数学建模/第2题_data_all.csv,24611,155b0fe8227700fa3155f040b06604672486c836,,https://github.com/Fucheng-Zhong/2022_math_modeling_E/blob/10dad930931a60cf9b6de8f1de717607c3fd54a9/%E6%95%B0%E5%AD%A6%E5%BB%BA%E6%A8%A1/%E7%AC%AC2%E9%A2%98_data_all.csv,Git tree enumerated; runtime not tested,UNSPECIFIED
